pos,vel,acc
60.150430314371,14.385475131859597,-27.940535610980383
60.291534901010074,14.110458663907352,-27.50164679522453
60.42993252244641,13.839762143633042,-27.069652027431015
60.56566569958112,13.57331771347134,-26.64444301617021
60.69877628539873,13.311058581760841,-26.22591317104993
60.82930547545874,13.052919006000884,-25.813957575995605
60.95729381822245,12.798834276371382,-25.408472962950167
61.082781225217566,12.548740699511512,-25.009357685987062
61.2058069810431,12.302575582553214,-24.61651169582989
61.32640975321715,12.060277217405492,-24.22983651477226
61.44462760187,11.821784865285576,-23.84923521199168
61.56049798928493,11.587038741493064,-23.474612379251123
61.674057789289165,11.35598000042324,-23.10587410698234
61.785343296497324,11.128550720815792,-22.742927960744826
61.89439023540967,10.904693891235246,-22.385682958054563
62.00123376936747,10.684353395779478,-22.03404954557676
